graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,15,100,0,True,False,False
0,100,15,0,True,False,False
0,15,61,0,True,False,False
0,61,15,0,True,False,False
0,156,15,0,True,False,False
0,15,156,0,True,False,False
0,42,15,0,True,False,False
0,15,42,0,True,False,False
0,161,155,0,True,False,False
0,155,161,0,True,False,False
0,155,130,0,True,False,False
0,130,155,0,True,False,False
0,155,55,0,True,False,False
0,55,155,0,True,False,False
0,155,88,0,True,False,False
0,88,155,0,True,False,False
0,155,128,0,True,False,False
0,128,155,0,True,False,False
0,155,51,0,True,False,False
0,51,155,0,True,False,False
0,155,117,0,True,False,False
0,117,155,0,True,False,False
0,155,163,0,True,False,False
0,163,155,0,True,False,False
0,155,118,0,True,False,False
0,118,155,0,True,False,False
0,153,124,0,True,False,False
0,124,153,0,True,False,False
0,124,21,0,True,False,False
0,21,124,0,True,False,False
0,129,124,0,True,False,False
0,124,129,0,True,False,False
0,124,156,0,True,False,False
0,156,124,0,True,False,False
0,16,44,0,True,False,False
0,44,16,0,True,False,False
0,44,102,0,True,False,False
0,102,44,0,True,False,False
0,44,31,0,True,False,False
0,31,44,0,True,False,False
0,44,115,0,True,False,False
0,115,44,0,True,False,False
0,21,111,0,True,False,False
0,111,21,0,True,False,False
0,21,98,0,True,False,False
0,98,21,0,True,False,False
0,89,21,0,True,False,False
0,21,89,0,True,False,False
0,185,21,0,True,False,False
0,21,185,0,True,False,False
0,110,129,0,True,False,False
0,129,110,0,True,False,False
0,129,92,0,True,False,False
0,92,129,0,True,False,False
0,129,185,0,True,False,False
0,185,129,0,True,False,False
0,110,16,0,True,False,False
0,16,110,0,True,False,False
0,110,153,0,True,False,False
0,153,110,0,True,False,False
0,185,161,0,True,False,False
0,161,185,0,True,False,False
0,16,185,0,True,False,False
0,185,16,0,True,False,False
0,185,31,0,True,False,False
0,31,185,0,True,False,False
0,42,85,0,True,False,False
0,85,42,0,True,False,False
0,42,55,0,True,False,False
0,55,42,0,True,False,False
0,92,42,0,True,False,False
0,42,92,0,True,False,False
0,102,138,0,True,False,False
0,138,102,0,True,False,False
0,102,39,0,True,False,False
0,39,102,0,True,False,False
0,102,173,0,True,False,False
0,173,102,0,True,False,False
0,92,161,0,True,False,False
0,161,92,0,True,False,False
0,92,156,0,True,False,False
0,156,92,0,True,False,False
0,156,98,0,True,False,False
0,98,156,0,True,False,False
0,161,98,0,True,False,False
0,98,161,0,True,False,False
0,98,144,0,True,False,False
0,144,98,0,True,False,False
0,98,61,0,True,False,False
0,61,98,0,True,False,False
0,16,89,0,True,False,False
0,89,16,0,True,False,False
0,31,111,0,True,False,False
0,111,31,0,True,False,False
0,111,144,0,True,False,False
0,144,111,0,True,False,False
0,115,111,0,True,False,False
0,111,115,0,True,False,False
0,111,18,0,True,False,False
0,18,111,0,True,False,False
0,153,89,0,True,False,False
0,89,153,0,True,False,False
0,89,115,0,True,False,False
0,115,89,0,True,False,False
0,115,138,0,True,False,False
0,138,115,0,True,False,False
0,161,55,0,True,False,False
0,55,161,0,True,False,False
0,161,163,0,True,False,False
0,163,161,0,True,False,False
0,31,39,0,True,False,False
0,39,31,0,True,False,False
0,31,163,0,True,False,False
0,163,31,0,True,False,False
0,138,158,0,True,False,False
0,158,138,0,True,False,False
0,138,18,0,True,False,False
0,18,138,0,True,False,False
0,4,179,0,True,False,False
0,179,4,0,True,False,False
0,177,179,0,True,False,False
0,179,177,0,True,False,False
